ZCTA,policeviolence_harmonicmean_pop,policeviolence_harmonicmean_black
4410,3.93E-06,0
4411,3.93E-06,0
4412,3.93E-06,0
4413,0,0
4414,0,0
4415,0,0
4416,0,0
4417,3.93E-06,0
4418,3.93E-06,0
4419,3.93E-06,0
4421,0,0
4422,3.93E-06,0
4424,7.95E-06,0
4426,0,0
4427,3.93E-06,0
4428,3.93E-06,0
4429,2.90E-06,0
4430,3.93E-06,0
4431,0,0
4434,3.93E-06,0
4435,3.93E-06,0
4438,5.10E-06,0
4441,0,0
4442,0,0
4443,0,0
4444,3.93E-06,0
4448,3.93E-06,0
4449,3.93E-06,0
4450,3.93E-06,0
4451,6.32E-06,0
4453,3.93E-06,0
4454,0,0
4455,3.93E-06,0
4456,3.93E-06,0
4457,3.93E-06,0
4459,6.32E-06,0
4460,6.32E-06,0
4461,3.93E-06,0
4462,3.54E-06,0
4463,0,0
4464,0,0
4468,1.02E-05,0
4469,3.93E-06,0
4471,1.16E-05,0
4472,0,0
4473,3.93E-06,0
4474,1.29E-05,0
4475,3.93E-06,0
4476,0,0
4478,3.92E-06,0
4479,0,0
4481,0,0
4485,0,0
4487,3.93E-06,0
4488,3.93E-06,0
4489,3.93E-06,0
4490,0,0
4491,0,0
4492,0,0
4493,3.93E-06,0
4495,3.93E-06,0
4496,5.10E-06,0
4497,6.32E-06,0
4530,0,0
4535,5.86E-06,0
4537,5.86E-06,0
4538,5.86E-06,0
4539,5.86E-06,0
4541,5.86E-06,0
4543,5.86E-06,0
4544,5.86E-06,0
4547,0,0
4548,0,0
4551,5.86E-06,0
4553,5.86E-06,0
4554,5.86E-06,0
4555,5.86E-06,0
4556,5.86E-06,0
4558,5.86E-06,0
4562,0,0
4563,0,0
4564,5.86E-06,0
4568,5.86E-06,0
4570,5.86E-06,0
4571,5.86E-06,0
4572,1.63E-05,0
4573,5.86E-06,0
4574,0,0
4575,5.86E-06,0
4576,5.86E-06,0
4578,5.86E-06,0
4579,0,0
4605,0,0
4606,0,0
4607,0,0
4609,0,0
4611,0,0
4612,0,0
4613,0,0
4614,0,0
4616,0,0
4617,0,0
4619,0,0
4622,0,0
4623,0,0
4624,0,0
4625,0,0
4626,0,0
4627,0,0
4628,0,0
4629,0,0
4630,0,0
4631,0,0
4634,0,0
4635,0,0
4637,0,0
4640,0,0
4642,0,0
4643,0,0
4644,0,0
4645,0,0
4646,0,0
4648,0,0
4649,0,0
4650,0,0
4652,0,0
4653,0,0
4654,0,0
4655,0,0
4657,0,0
4658,0,0
4660,0,0
4662,0,0
4664,0,0
4666,0,0
4667,0,0
4668,0,0
4669,0,0
4671,0,0
4673,0,0
4674,0,0
4675,0,0
4676,0,0
4677,0,0
4679,0,0
4680,0,0
4681,0,0
4683,0,0
4684,0,0
4685,0,0
4686,0,0
4691,0,0
4693,0,0
4694,0,0
4730,1.16E-05,0
4732,9.32E-06,0
4733,6.32E-06,0
4734,1.16E-05,0
4735,1.16E-05,0
